127.0.0.1, 2014-02-18 00:35:05, GET, /admin/static/edit_area/images/redo.gif, HTTP/1.1, 200, 0.011000
127.0.0.1, 2014-02-18 00:35:05, GET, /admin/static/edit_area/images/spacer.gif, HTTP/1.1, 200, 0.014000
127.0.0.1, 2014-02-18 00:35:05, GET, /admin/static/edit_area/images/search.gif, HTTP/1.1, 200, 0.036000
127.0.0.1, 2014-02-18 00:35:05, GET, /admin/static/edit_area/images/fullscreen.gif, HTTP/1.1, 200, 0.015000
127.0.0.1, 2014-02-18 00:35:05, GET, /admin/static/edit_area/images/go_to_line.gif, HTTP/1.1, 200, 0.028000
127.0.0.1, 2014-02-18 00:35:05, GET, /admin/static/edit_area/images/highlight.gif, HTTP/1.1, 200, 0.006000
127.0.0.1, 2014-02-18 00:35:05, GET, /admin/static/edit_area/images/smooth_selection.gif, HTTP/1.1, 200, 0.008000
127.0.0.1, 2014-02-18 00:35:05, GET, /admin/static/edit_area/images/reset_highlight.gif, HTTP/1.1, 200, 0.004000
127.0.0.1, 2014-02-18 00:35:05, GET, /admin/static/edit_area/images/help.gif, HTTP/1.1, 200, 0.014000
127.0.0.1, 2014-02-18 00:35:05, GET, /admin/static/edit_area/images/word_wrap.gif, HTTP/1.1, 200, 0.015000
127.0.0.1, 2014-02-18 00:35:05, GET, /admin/static/edit_area/images/statusbar_resize.gif, HTTP/1.1, 200, 0.027000
127.0.0.1, 2014-02-18 00:35:05, GET, /admin/static/edit_area/images/close.gif, HTTP/1.1, 200, 0.013000
127.0.0.1, 2014-02-18 00:35:05, GET, /admin/static/edit_area/images/move.gif, HTTP/1.1, 200, 0.010000
127.0.0.1, 2014-02-18 00:35:07, GET, /admin/design/booking, HTTP/1.1, 200, 0.393000
127.0.0.1, 2014-02-18 00:35:18, GET, /admin/edit/booking/controllers/reports.py, HTTP/1.1, 200, 0.081000
127.0.0.1, 2014-02-18 00:35:28, GET, /admin/keepalive, HTTP/1.1, 200, 0.043000
127.0.0.1, 2014-02-20 05:57:56, GET, /, HTTP/1.1, 303, 1.253000
127.0.0.1, 2014-02-20 05:57:56, GET, /user/login, HTTP/1.1, 200, 0.130000
127.0.0.1, 2014-02-20 05:57:56, GET, /booking/static/css/fullcalendar.css, HTTP/1.1, 200, 0.015000
127.0.0.1, 2014-02-20 05:57:56, GET, /booking/static/js/web2py_ajax.js, HTTP/1.1, 200, 0.018000
127.0.0.1, 2014-02-20 05:57:56, GET, /booking/static/css/calendar.css, HTTP/1.1, 200, 0.026000
127.0.0.1, 2014-02-20 05:57:56, GET, /booking/static/css/default.css, HTTP/1.1, 200, 0.044000
127.0.0.1, 2014-02-20 05:57:56, GET, /booking/static/js/calendar.js, HTTP/1.1, 200, 0.049000
127.0.0.1, 2014-02-20 05:57:56, GET, /booking/static/js/jquery.js, HTTP/1.1, 200, 0.060000
127.0.0.1, 2014-02-20 05:57:56, GET, /booking/static/js/check_browser_close.js, HTTP/1.1, 200, 0.008000
127.0.0.1, 2014-02-20 05:57:56, GET, /booking/static/js/fullcalendar.min.js, HTTP/1.1, 200, 0.060000
127.0.0.1, 2014-02-20 05:57:56, GET, /booking/static/js/jquery.tablesorter.min.js, HTTP/1.1, 200, 0.057000
127.0.0.1, 2014-02-20 05:57:56, GET, /booking/static/js/application.js, HTTP/1.1, 200, 0.033000
127.0.0.1, 2014-02-20 05:57:57, GET, /booking/static/css/print.css, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-02-20 05:57:57, GET, /booking/static/css/images/img4.gif, HTTP/1.1, 200, 0.002000
127.0.0.1, 2014-02-20 05:58:27, GET, /booking/appadmin, HTTP/1.1, 303, 0.200000
127.0.0.1, 2014-02-20 05:58:27, GET, /admin, HTTP/1.1, 200, 0.218000
127.0.0.1, 2014-02-20 05:58:28, GET, /admin/static/css/calendar.css, HTTP/1.1, 200, 0.031000
127.0.0.1, 2014-02-20 05:58:28, GET, /admin/static/plugin_multiselect/jquery.dimensions.js, HTTP/1.1, 200, 0.019000
127.0.0.1, 2014-02-20 05:58:28, GET, /admin/static/js/calendar.js, HTTP/1.1, 200, 0.065000
127.0.0.1, 2014-02-20 05:58:28, GET, /admin/static/js/jquery.js, HTTP/1.1, 200, 0.091000
